,Model,Position,Weight,Pressure,Temperature
138,MPL,0,35,140554.25, 22.12
139,MPL,0,35,140555.00, 22.12
140,MPL,0,35,140554.25, 22.12
141,MPL,0,35,140555.25, 22.12
142,MPL,0,35,140554.50, 22.12
143,MPL,0,35,140556.75, 22.12
144,MPL,0,35,140555.50, 22.12
145,MPL,0,35,140557.00, 22.12
146,MPL,0,35,140555.75, 22.12
147,MPL,0,35,140556.00, 22.12
148,MPL,0,35,140559.25, 22.12
149,MPL,0,35,140555.25, 22.12
150,MPL,0,35,140555.25, 22.12
151,MPL,0,35,140554.50, 22.12
152,MPL,0,35,140558.25, 22.12
153,MPL,0,35,140552.25, 22.12
154,MPL,0,35,140557.50, 22.12
155,MPL,0,35,140555.75, 22.12
156,MPL,0,35,140555.25, 22.12
157,MPL,0,35,140560.25, 22.12
158,MPL,0,35,140559.25, 22.12
159,MPL,0,35,140562.25, 22.12
160,MPL,0,35,140558.00, 22.12
161,MPL,0,35,140562.25, 22.12
162,MPL,0,35,140556.75, 22.12
163,MPL,0,35,140559.75, 22.12
164,MPL,0,35,140561.25, 22.12
165,MPL,0,35,140558.25, 22.12
166,MPL,0,35,140560.00, 22.12
167,MPL,0,35,140561.75, 22.12
168,MPL,0,35,140556.75, 22.12
169,MPL,0,35,140562.00, 22.12
170,MPL,0,35,140557.50, 22.12
171,MPL,0,35,140562.50, 22.12
172,MPL,0,35,140564.75, 22.12
173,MPL,0,35,140562.50, 22.12
174,MPL,0,35,140562.00, 22.12
175,MPL,0,35,140560.75, 22.12
176,MPL,0,35,140558.25, 22.12
177,MPL,0,35,140562.00, 22.12
178,MPL,0,35,140562.50, 22.12
179,MPL,0,35,140562.50, 22.12
180,MPL,0,35,140564.00, 22.12
181,MPL,0,35,140565.00, 22.12
182,MPL,0,35,140564.75, 22.12
183,MPL,0,35,140566.50, 22.12
184,MPL,0,35,140563.25, 22.12
185,MPL,0,35,140566.00, 22.12
186,MPL,0,35,140565.00, 22.12
187,MPL,0,35,140568.50, 22.12
188,MPL,0,35,140567.25, 22.12
189,MPL,0,35,140564.00, 22.12
190,MPL,0,35,140565.00, 22.12
191,MPL,0,35,140562.75, 22.12
192,MPL,0,35,140563.50, 22.12
193,MPL,0,35,140569.25, 22.12
194,MPL,0,35,140562.25, 22.12
195,MPL,0,35,140562.50, 22.12
196,MPL,0,35,140566.25, 22.12
197,MPL,0,35,140565.25, 22.12
198,MPL,0,35,140561.50, 22.12
199,MPL,0,35,140565.00, 22.12
200,MPL,0,0,140563.50, 22.12
201,MPL,0,0,140563.50, 21.87
202,MPL,0,0,140484.00, 21.94
203,MPL,0,0,140505.00, 21.94
204,MPL,0,0,140509.25, 21.94
205,MPL,0,0,140512.00, 22.00
206,MPL,0,0,140521.50, 22.00
207,MPL,0,0,140525.00, 22.00
208,MPL,0,0,140525.00, 22.00
209,MPL,0,0,140528.75, 22.00
210,MPL,0,0,140528.00, 22.00
211,MPL,0,0,140528.00, 22.00
212,MPL,0,0,140528.75, 22.00
213,MPL,0,0,140528.00, 22.00
214,MPL,0,0,140532.00, 22.06
215,MPL,0,0,140538.50, 22.06
216,MPL,0,0,140537.25, 22.06
217,MPL,0,0,140537.25, 22.06
218,MPL,0,0,140537.75, 22.06
219,MPL,0,0,140536.50, 22.06
220,MPL,0,0,140540.75, 22.00
221,MPL,0,0,140532.75, 22.06
222,MPL,0,0,140541.50, 22.06
223,MPL,0,0,140542.75, 22.06
224,MPL,0,0,140539.75, 22.06
225,MPL,0,0,140541.50, 22.06
226,MPL,0,0,140542.00, 22.06
227,MPL,0,0,140548.75, 22.06
228,MPL,0,0,140537.00, 22.06
229,MPL,0,0,140544.75, 22.06
230,MPL,0,0,140544.75, 22.06
231,MPL,0,0,140541.00, 22.06
232,MPL,0,0,140542.25, 22.06
233,MPL,0,0,140544.75, 22.06
234,MPL,0,0,140542.75, 22.06
235,MPL,0,0,140542.50, 22.06
236,MPL,0,0,140545.25, 22.06
237,MPL,0,0,140548.50, 22.06
238,MPL,0,0,140544.75, 22.06
239,MPL,0,0,140544.50, 22.06
240,MPL,0,0,140547.25, 22.06
241,MPL,0,0,140545.50, 22.06
242,MPL,0,0,140546.00, 22.06
243,MPL,0,0,140549.50, 22.06
244,MPL,0,0,140546.00, 22.06
245,MPL,0,0,140551.00, 22.06
246,MPL,0,0,140547.50, 22.06
247,MPL,0,0,140550.75, 22.06
248,MPL,0,0,140548.50, 22.06
249,MPL,0,0,140544.25, 22.06
250,MPL,0,0,140547.50, 22.06
251,MPL,0,0,140550.00, 22.06
252,MPL,0,0,140548.75, 22.12
253,MPL,0,0,140554.50, 22.06
254,MPL,0,0,140549.75, 22.06
255,MPL,0,0,140551.75, 22.06
256,MPL,0,0,140548.25, 22.06
257,MPL,0,0,140548.50, 22.12
258,MPL,0,0,140557.50, 22.12
259,MPL,0,0,140554.00, 22.06
260,MPL,0,0,140549.50, 22.06
261,MPL,0,0,140549.75, 22.06
262,MPL,0,0,140550.00, 22.06
263,MPL,0,0,140549.00, 22.12
264,MPL,0,0,140553.25, 22.12
265,MPL,0,0,140552.50, 22.12
266,MPL,0,0,140552.50, 22.12
267,MPL,0,0,140553.50, 22.12
268,MPL,0,0,140554.25, 22.12
269,MPL,0,0,140552.25, 22.12
270,MPL,0,0,140554.00, 22.12
271,MPL,0,0,140555.00, 22.06
272,MPL,0,0,140548.25, 22.06
273,MPL,0,0,140551.00, 22.12
274,MPL,0,0,140555.75, 22.06
275,MPL,0,0,140550.75, 22.12
276,MPL,0,0,140552.25, 22.12
277,MPL,0,0,140556.50, 22.12
278,MPL,0,0,140554.50, 22.12
279,MPL,0,0,140555.50, 22.12
280,MPL,0,0,140553.00, 22.12
281,MPL,0,0,140553.00, 22.12
282,MPL,0,0,140554.75, 22.12
283,MPL,0,0,140554.25, 22.12
284,MPL,0,0,140555.00, 22.12
285,MPL,0,0,140554.25, 22.12
286,MPL,0,0,140556.50, 22.12
287,MPL,0,0,140559.00, 22.12
288,MPL,0,0,140552.25, 22.12
289,MPL,0,0,140556.00, 22.12
290,MPL,0,0,140554.25, 22.12
291,MPL,0,0,140556.25, 22.06
292,MPL,0,0,140551.50, 22.12
293,MPL,0,0,140558.00, 22.12
294,MPL,0,0,140553.00, 22.12
295,MPL,0,0,140558.75, 22.12
296,MPL,0,0,140559.00, 22.12
297,MPL,0,0,140558.00, 22.12
298,MPL,0,0,140556.00, 22.12
299,MPL,0,0,140559.25, 22.12
300,MPL,5,0,140556.00, 22.12
301,MPL,5,0,140556.00, 21.87
302,MPL,5,0,140485.25, 21.94
303,MPL,5,0,140509.50, 22.00
304,MPL,5,0,140521.50, 22.00
305,MPL,5,0,140520.75, 22.00
306,MPL,5,0,140526.75, 22.00
307,MPL,5,0,140530.75, 22.06
308,MPL,5,0,140533.25, 22.00
309,MPL,5,0,140532.25, 22.00
310,MPL,5,0,140531.75, 22.00
311,MPL,5,0,140532.25, 22.06
312,MPL,5,0,140539.25, 22.06
313,MPL,5,0,140538.00, 22.06
314,MPL,5,0,140539.25, 22.06
315,MPL,5,0,140538.75, 22.06
316,MPL,5,0,140541.50, 22.06
317,MPL,5,0,140544.25, 22.06
318,MPL,5,0,140546.00, 22.06
319,MPL,5,0,140546.00, 22.06
320,MPL,5,0,140543.75, 22.06
321,MPL,5,0,140542.75, 22.06
322,MPL,5,0,140541.75, 22.06
323,MPL,5,0,140549.00, 22.06
324,MPL,5,0,140546.25, 22.06
325,MPL,5,0,140549.75, 22.06
326,MPL,5,0,140547.00, 22.06
327,MPL,5,0,140549.00, 22.06
328,MPL,5,0,140548.75, 22.06
329,MPL,5,0,140551.25, 22.06
330,MPL,5,0,140545.50, 22.06
331,MPL,5,0,140543.50, 22.12
332,MPL,5,0,140552.25, 22.06
333,MPL,5,0,140551.75, 22.12
334,MPL,5,0,140553.50, 22.06
335,MPL,5,0,140551.00, 22.12
336,MPL,5,0,140553.00, 22.12
337,MPL,5,0,140554.50, 22.12
338,MPL,5,0,140553.25, 22.12
339,MPL,5,0,140553.00, 22.12
340,MPL,5,0,140554.50, 22.12
341,MPL,5,0,140554.25, 22.12
342,MPL,5,0,140553.50, 22.12
343,MPL,5,0,140558.50, 22.12
344,MPL,5,0,140555.25, 22.12
345,MPL,5,0,140558.75, 22.12
346,MPL,5,0,140554.25, 22.06
347,MPL,5,0,140551.75, 22.12
348,MPL,5,0,140559.75, 22.12
349,MPL,5,0,140553.00, 22.12
350,MPL,5,0,140556.00, 22.12
351,MPL,5,0,140554.75, 22.12
352,MPL,5,0,140553.25, 22.12
353,MPL,5,0,140559.75, 22.12
354,MPL,5,0,140555.50, 22.12
355,MPL,5,0,140556.00, 22.12
356,MPL,5,0,140563.00, 22.12
357,MPL,5,0,140559.00, 22.12
358,MPL,5,0,140560.25, 22.12
359,MPL,5,0,140558.00, 22.12
360,MPL,5,0,140554.75, 22.12
361,MPL,5,0,140558.00, 22.12
362,MPL,5,0,140559.25, 22.12
363,MPL,5,0,140562.00, 22.12
364,MPL,5,0,140558.25, 22.12
365,MPL,5,0,140560.00, 22.12
366,MPL,5,0,140559.25, 22.12
367,MPL,5,0,140560.50, 22.12
368,MPL,5,0,140560.25, 22.12
369,MPL,5,0,140557.75, 22.12
370,MPL,5,0,140559.25, 22.12
371,MPL,5,0,140563.00, 22.12
372,MPL,5,0,140562.75, 22.12
373,MPL,5,0,140558.25, 22.12
374,MPL,5,0,140561.75, 22.12
375,MPL,5,0,140565.00, 22.12
376,MPL,5,0,140560.50, 22.12
377,MPL,5,0,140560.25, 22.12
378,MPL,5,0,140566.00, 22.12
379,MPL,5,0,140564.75, 22.12
380,MPL,5,0,140561.50, 22.12
381,MPL,5,0,140562.00, 22.12
382,MPL,5,0,140563.50, 22.12
383,MPL,5,0,140562.75, 22.12
384,MPL,5,0,140562.25, 22.12
385,MPL,5,0,140565.25, 22.12
386,MPL,5,0,140567.25, 22.12
387,MPL,5,0,140565.25, 22.12
388,MPL,5,0,140559.00, 22.12
389,MPL,5,0,140563.50, 22.12
390,MPL,5,0,140563.50, 22.12
391,MPL,5,0,140567.00, 22.12
392,MPL,5,0,140567.00, 22.12
393,MPL,5,0,140564.75, 22.12
394,MPL,5,0,140562.75, 22.12
395,MPL,5,0,140563.25, 22.12
396,MPL,5,0,140564.00, 22.12
397,MPL,5,0,140565.25, 22.12
398,MPL,5,0,140562.00, 22.12
399,MPL,5,0,140565.00, 22.12
400,MPL,5,35,140568.50, 22.12
401,MPL,5,35,140568.50, 21.94
402,MPL,5,35,140502.75, 22.00
403,MPL,5,35,140527.50, 22.06
404,MPL,5,35,140533.50, 22.06
405,MPL,5,35,140535.00, 22.06
406,MPL,5,35,140545.50, 22.06
407,MPL,5,35,140542.25, 22.06
408,MPL,5,35,140548.25, 22.06
409,MPL,5,35,140547.50, 22.06
410,MPL,5,35,140549.25, 22.06
411,MPL,5,35,140549.75, 22.06
412,MPL,5,35,140548.75, 22.12
413,MPL,5,35,140555.25, 22.12
414,MPL,5,35,140556.00, 22.12
415,MPL,5,35,140554.00, 22.12
416,MPL,5,35,140554.75, 22.12
417,MPL,5,35,140554.75, 22.12
418,MPL,5,35,140555.50, 22.12
419,MPL,5,35,140560.50, 22.12
420,MPL,5,35,140555.00, 22.12
421,MPL,5,35,140557.00, 22.12
422,MPL,5,35,140556.50, 22.12
423,MPL,5,35,140557.00, 22.12
424,MPL,5,35,140561.25, 22.12
425,MPL,5,35,140562.25, 22.12
426,MPL,5,35,140558.75, 22.12
427,MPL,5,35,140559.75, 22.12
428,MPL,5,35,140561.50, 22.12
429,MPL,5,35,140561.50, 22.12
430,MPL,5,35,140566.25, 22.12
431,MPL,5,35,140562.00, 22.12
432,MPL,5,35,140565.50, 22.12
433,MPL,5,35,140562.75, 22.12
434,MPL,5,35,140565.75, 22.12
435,MPL,5,35,140559.25, 22.12
436,MPL,5,35,140562.25, 22.12
437,MPL,5,35,140564.25, 22.12
438,MPL,5,35,140567.25, 22.12
439,MPL,5,35,140562.50, 22.12
440,MPL,5,35,140566.50, 22.12
441,MPL,5,35,140563.50, 22.12
442,MPL,5,35,140565.25, 22.12
443,MPL,5,35,140564.00, 22.12
444,MPL,5,35,140567.75, 22.12
445,MPL,5,35,140567.25, 22.12
446,MPL,5,35,140569.00, 22.12
447,MPL,5,35,140565.50, 22.12
448,MPL,5,35,140565.75, 22.12
449,MPL,5,35,140564.25, 22.12
450,MPL,5,35,140567.75, 22.19
451,MPL,5,35,140571.75, 22.12
452,MPL,5,35,140570.00, 22.12
453,MPL,5,35,140567.00, 22.12
454,MPL,5,35,140569.25, 22.12
455,MPL,5,35,140570.25, 22.12
456,MPL,5,35,140564.75, 22.12
457,MPL,5,35,140570.00, 22.12
458,MPL,5,35,140566.25, 22.12
459,MPL,5,35,140566.75, 22.12
460,MPL,5,35,140567.75, 22.19
461,MPL,5,35,140571.25, 22.12
462,MPL,5,35,140570.25, 22.12
463,MPL,5,35,140568.50, 22.19
464,MPL,5,35,140573.25, 22.19
465,MPL,5,35,140573.25, 22.12
466,MPL,5,35,140566.25, 22.12
467,MPL,5,35,140565.25, 22.12
468,MPL,5,35,140567.50, 22.12
469,MPL,5,35,140567.75, 22.12
470,MPL,5,35,140570.50, 22.12
471,MPL,5,35,140570.25, 22.12
472,MPL,5,35,140566.75, 22.19
473,MPL,5,35,140571.75, 22.19
474,MPL,5,35,140571.25, 22.12
475,MPL,5,35,140570.00, 22.19
476,MPL,5,35,140572.00, 22.12
477,MPL,5,35,140570.25, 22.12
478,MPL,5,35,140570.00, 22.12
479,MPL,5,35,140570.25, 22.19
480,MPL,5,35,140572.75, 22.19
481,MPL,5,35,140572.50, 22.19
482,MPL,5,35,140574.50, 22.19
483,MPL,5,35,140572.50, 22.19
484,MPL,5,35,140571.00, 22.19
485,MPL,5,35,140571.25, 22.19
486,MPL,5,35,140573.75, 22.19
487,MPL,5,35,140574.00, 22.12
488,MPL,5,35,140570.50, 22.19
489,MPL,5,35,140575.75, 22.12
490,MPL,5,35,140568.75, 22.19
491,MPL,5,35,140572.25, 22.19
492,MPL,5,35,140572.50, 22.19
493,MPL,5,35,140573.75, 22.19
494,MPL,5,35,140574.75, 22.19
495,MPL,5,35,140571.25, 22.19
496,MPL,5,35,140574.50, 22.12
497,MPL,5,35,140570.00, 22.19
498,MPL,5,35,140575.25, 22.19
499,MPL,5,35,140572.25, 22.19
500,MPL,5,0,140573.25, 22.19
501,MPL,5,0,140573.25, 21.94
502,MPL,5,0,140511.50, 22.06
503,MPL,5,0,140533.25, 22.06
504,MPL,5,0,140544.75, 22.06
505,MPL,5,0,140547.00, 22.06
506,MPL,5,0,140548.75, 22.12
507,MPL,5,0,140556.50, 22.06
508,MPL,5,0,140547.00, 22.12
509,MPL,5,0,140556.50, 22.12
510,MPL,5,0,140556.50, 22.12
511,MPL,5,0,140558.50, 22.12
